epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4766,0.90884,2.64066,1.11076,0.41503,0.19859,0.35769,0.28177,0.75385,2.47712,0.89935,0.000536506,0.000536506,0.000536506
2,93.6635,0.8515,1.7327,1.0456,0.46596,0.38433,0.44457,0.31636,0.98838,2.16588,1.02286,0.00107866,0.00107866,0.00107866
3,141.253,0.89975,1.5034,1.0706,0.58198,0.51768,0.56089,0.4258,0.84042,1.63671,0.95087,0.00160706,0.00160706,0.00160706
4,188.795,0.90057,1.45943,1.05585,0.53021,0.63426,0.58666,0.43509,0.85864,1.68628,0.96108,0.00160511,0.00160511,0.00160511
5,236.542,0.85606,1.40987,1.05885,0.58379,0.65975,0.59595,0.445,0.90498,1.44121,1.02693,0.00158448,0.00158448,0.00158448
6,285.352,0.83795,1.31941,1.02737,0.64843,0.63687,0.66301,0.49244,0.86023,1.43634,0.9624,0.00156385,0.00156385,0.00156385
7,328.908,0.84186,1.27617,1.03907,0.71253,0.64089,0.68796,0.53073,0.81822,1.38222,0.99268,0.00154323,0.00154323,0.00154323
8,372.508,0.77906,1.19897,1.00799,0.68458,0.73695,0.73884,0.56315,0.77791,1.26697,0.92739,0.0015226,0.0015226,0.0015226
9,416.25,0.80481,1.19068,1.0255,0.74239,0.64436,0.7056,0.55857,0.72481,1.40316,0.91063,0.00150197,0.00150197,0.00150197
10,464.726,0.76989,1.23385,1.02073,0.60176,0.77399,0.71634,0.57116,0.78586,1.27271,0.92687,0.00148134,0.00148134,0.00148134
11,518.087,0.74562,1.10159,1.00107,0.69333,0.75532,0.7128,0.54786,0.81083,1.26941,0.94888,0.00146071,0.00146071,0.00146071
12,566.436,0.77855,1.07683,1.00296,0.72251,0.76014,0.75239,0.57016,0.77996,1.1582,0.93441,0.00144008,0.00144008,0.00144008
13,615.352,0.75856,1.08845,0.99637,0.75299,0.6713,0.73506,0.59088,0.70609,1.2972,0.91247,0.00141945,0.00141945,0.00141945
14,663.421,0.71595,1.04015,0.99706,0.82856,0.75302,0.80666,0.63285,0.71543,1.1244,0.90927,0.00139882,0.00139882,0.00139882
15,711.368,0.70853,1.0284,0.99112,0.74566,0.66204,0.77895,0.63707,0.63785,1.16787,0.88553,0.00137819,0.00137819,0.00137819
16,759.885,0.68946,0.9942,0.98587,0.81349,0.77651,0.81589,0.66719,0.66543,0.98155,0.92917,0.00135756,0.00135756,0.00135756
17,809.205,0.68252,0.99838,0.97622,0.67584,0.81225,0.76738,0.60881,0.70515,1.09131,0.93821,0.00133693,0.00133693,0.00133693
18,859.686,0.67604,0.94401,0.96677,0.72078,0.74347,0.7358,0.58071,0.70113,1.11506,0.93779,0.0013163,0.0013163,0.0013163
19,916.591,0.68448,0.92858,0.95858,0.84447,0.73274,0.80198,0.63346,0.71998,0.99423,0.93387,0.00129568,0.00129568,0.00129568
20,971.04,0.69192,0.94977,0.97255,0.77238,0.76684,0.8156,0.64886,0.72722,0.92797,0.94422,0.00127505,0.00127505,0.00127505
21,1020.1,0.63408,0.85746,0.95483,0.70141,0.81734,0.76991,0.63594,0.60003,0.95959,0.88388,0.00125442,0.00125442,0.00125442
22,1068.92,0.66069,0.9048,0.96654,0.72357,0.84196,0.80544,0.67104,0.59916,0.91236,0.88642,0.00123379,0.00123379,0.00123379
23,1117.96,0.63058,0.85923,0.95979,0.72944,0.77399,0.79231,0.64096,0.66312,0.98688,0.9282,0.00121316,0.00121316,0.00121316
24,1166.97,0.62906,0.88742,0.94631,0.75553,0.77617,0.79879,0.6511,0.63489,0.93675,0.89314,0.00119253,0.00119253,0.00119253
25,1217.41,0.63613,0.85789,0.95793,0.75521,0.80808,0.80292,0.65694,0.6138,0.88856,0.88143,0.0011719,0.0011719,0.0011719
26,1266.39,0.61357,0.84447,0.95172,0.72433,0.81439,0.79318,0.66253,0.58566,0.92962,0.87992,0.00115127,0.00115127,0.00115127
27,1314.4,0.62,0.82979,0.94359,0.76896,0.78279,0.80726,0.65906,0.60058,0.98374,0.88045,0.00113064,0.00113064,0.00113064
28,1362.8,0.61608,0.79538,0.94719,0.769,0.79882,0.83207,0.69484,0.5767,0.86775,0.8758,0.00111001,0.00111001,0.00111001
29,1411.54,0.57603,0.76501,0.93601,0.73789,0.83586,0.82174,0.69175,0.56519,0.85366,0.87293,0.00108938,0.00108938,0.00108938
30,1460.45,0.57679,0.77521,0.93234,0.77905,0.79713,0.83365,0.6801,0.58489,0.8538,0.89413,0.00106876,0.00106876,0.00106876
31,1509.54,0.62406,0.79577,0.95075,0.81621,0.74686,0.83256,0.68027,0.59689,0.86399,0.88327,0.00104813,0.00104813,0.00104813
32,1558.27,0.60508,0.77301,0.93928,0.79461,0.72658,0.79439,0.67496,0.56863,0.9548,0.89082,0.0010275,0.0010275,0.0010275
33,1606.85,0.5876,0.76094,0.93275,0.80224,0.80233,0.8267,0.69711,0.55062,0.83579,0.86654,0.00100687,0.00100687,0.00100687
34,1654.62,0.57193,0.75071,0.93371,0.83121,0.78924,0.84194,0.71159,0.57829,0.80247,0.90751,0.000986239,0.000986239,0.000986239
35,1703.15,0.55684,0.77346,0.92647,0.79736,0.77548,0.81685,0.68417,0.62392,0.87402,0.92602,0.00096561,0.00096561,0.00096561
36,1751.76,0.59179,0.77863,0.93571,0.76049,0.80093,0.81514,0.70217,0.5708,0.80304,0.90109,0.000944981,0.000944981,0.000944981
37,1800.05,0.55565,0.71656,0.91941,0.79105,0.78956,0.82754,0.71763,0.57918,0.81567,0.89208,0.000924352,0.000924352,0.000924352
38,1848.61,0.60383,0.98153,0.97224,0.70968,0.86396,0.82087,0.69507,0.58395,0.84184,0.8816,0.000903722,0.000903722,0.000903722
39,1897.03,0.55476,0.71116,0.91723,0.7188,0.78956,0.79957,0.68389,0.56755,0.83151,0.90346,0.000883093,0.000883093,0.000883093
40,1945.08,0.56626,0.74125,0.9285,0.69576,0.8136,0.79498,0.6736,0.59022,0.80857,0.90957,0.000862464,0.000862464,0.000862464
41,1994.06,0.54386,0.67457,0.92565,0.74174,0.84109,0.81458,0.68449,0.58865,0.818,0.89708,0.000841835,0.000841835,0.000841835
42,2042.12,0.5379,0.67855,0.91398,0.76903,0.82402,0.81604,0.69624,0.5566,0.80377,0.8863,0.000821206,0.000821206,0.000821206
43,2091.34,0.5244,0.67316,0.90614,0.77053,0.76402,0.80009,0.68789,0.58521,0.89635,0.916,0.000800577,0.000800577,0.000800577
44,2140.12,0.52689,0.678,0.91552,0.80146,0.71545,0.80172,0.69959,0.52727,0.87583,0.87246,0.000779948,0.000779948,0.000779948
45,2190.04,0.51053,0.78359,0.90756,0.72198,0.79239,0.77432,0.67968,0.51886,0.93101,0.87261,0.000759318,0.000759318,0.000759318
46,2238.91,0.52374,0.68798,0.92087,0.72063,0.83796,0.81951,0.71718,0.53611,0.8185,0.87087,0.000738689,0.000738689,0.000738689
47,2287.35,0.51952,0.67546,0.9234,0.73535,0.81313,0.81387,0.72242,0.49664,0.78757,0.86197,0.00071806,0.00071806,0.00071806
48,2336.95,0.52069,0.63414,0.91293,0.73657,0.80387,0.81509,0.72212,0.50069,0.78097,0.85911,0.000697431,0.000697431,0.000697431
49,2385.23,0.51778,0.66367,0.91144,0.76383,0.78329,0.8168,0.72657,0.54531,0.78572,0.89254,0.000676802,0.000676802,0.000676802
50,2433.83,0.49793,0.60631,0.90617,0.77149,0.82449,0.8147,0.72911,0.50847,0.73409,0.88228,0.000656173,0.000656173,0.000656173
51,2483.23,0.49242,0.60941,0.91221,0.8289,0.73327,0.82113,0.72682,0.51065,0.7528,0.87016,0.000635544,0.000635544,0.000635544
52,2532.39,0.50396,0.63925,0.90344,0.74278,0.80093,0.82631,0.72235,0.54346,0.7822,0.88835,0.000614915,0.000614915,0.000614915
53,2580.65,0.47616,0.62172,0.89678,0.76689,0.80564,0.81934,0.72228,0.53346,0.79252,0.88591,0.000594286,0.000594286,0.000594286
54,2630.53,0.50196,0.59253,0.90681,0.7889,0.79882,0.81921,0.71931,0.52538,0.80632,0.87516,0.000573656,0.000573656,0.000573656
55,2682.08,0.54754,0.6393,0.97144,0.78522,0.77821,0.82487,0.72448,0.49664,0.7886,0.8563,0.000553027,0.000553027,0.000553027
56,2730.69,0.48185,0.59119,0.89576,0.80978,0.78935,0.8466,0.75455,0.47452,0.72313,0.85055,0.000532398,0.000532398,0.000532398
57,2778.83,0.49125,0.57762,0.90771,0.78875,0.80701,0.828,0.74093,0.46962,0.74432,0.85902,0.000511769,0.000511769,0.000511769
58,2827.29,0.48114,0.63439,0.89937,0.75941,0.84548,0.8268,0.73545,0.49633,0.74012,0.86712,0.00049114,0.00049114,0.00049114
59,2875.19,0.49605,0.59283,0.90505,0.77073,0.81116,0.80571,0.71911,0.5164,0.75446,0.87303,0.000470511,0.000470511,0.000470511
60,2923.29,0.47623,0.58681,0.89562,0.82478,0.75841,0.80829,0.72188,0.51858,0.79591,0.87592,0.000449882,0.000449882,0.000449882
61,2971.53,0.4597,0.6011,0.89233,0.80278,0.78641,0.81285,0.70275,0.52584,0.83074,0.88418,0.000429253,0.000429253,0.000429253
62,3019.5,0.46809,0.57508,0.90041,0.81585,0.77609,0.82043,0.71489,0.50105,0.80061,0.87687,0.000408623,0.000408623,0.000408623
63,3067.96,0.46909,0.54779,0.89673,0.81548,0.79845,0.84168,0.74177,0.47817,0.74143,0.88393,0.000387994,0.000387994,0.000387994
64,3115.57,0.46341,0.5441,0.89041,0.75091,0.83829,0.83411,0.74687,0.48464,0.76384,0.89834,0.000367365,0.000367365,0.000367365
65,3163.82,0.47852,0.54316,0.90771,0.80599,0.82191,0.83829,0.74584,0.48247,0.742,0.88148,0.000346736,0.000346736,0.000346736
66,3211.7,0.45678,0.5652,0.89467,0.80661,0.78414,0.83451,0.75422,0.46899,0.72865,0.8725,0.000326107,0.000326107,0.000326107
67,3259.53,0.44858,0.54755,0.88127,0.82041,0.77609,0.83259,0.74057,0.4776,0.76131,0.87458,0.000305478,0.000305478,0.000305478
68,3307.35,0.4532,0.52913,0.89385,0.80396,0.77338,0.8311,0.73159,0.47402,0.77608,0.87499,0.000284849,0.000284849,0.000284849
69,3355.38,0.43904,0.5241,0.89097,0.82677,0.77463,0.83188,0.74832,0.44668,0.74546,0.85564,0.00026422,0.00026422,0.00026422
70,3403.32,0.43603,0.5175,0.88166,0.77971,0.81338,0.83637,0.74998,0.43769,0.71737,0.8477,0.00024359,0.00024359,0.00024359
71,3449.65,0.41915,0.58597,0.85942,0.8642,0.73695,0.83344,0.7473,0.46937,0.75831,0.86164,0.000222961,0.000222961,0.000222961
